id,gender,age,mask,path
000000,1,1,0,./data/images/000001_female_Asian_45_mask5.jpg
000001,1,1,0,./data/images/000001_female_Asian_45_mask3.jpg
000002,1,1,2,./data/images/000001_female_Asian_45_normal.jpg
000003,1,1,0,./data/images/000001_female_Asian_45_mask4.jpg
000004,1,1,1,./data/images/000001_female_Asian_45_incorrect_mask.jpg
000005,1,1,0,./data/images/000001_female_Asian_45_mask1.jpg
000006,1,1,0,./data/images/000001_female_Asian_45_mask2.jpg
000007,1,1,0,./data/images/000002_female_Asian_52_mask5.jpg
000008,1,1,0,./data/images/000002_female_Asian_52_mask3.jpg
000009,1,1,2,./data/images/000002_female_Asian_52_normal.jpg
000010,1,1,0,./data/images/000002_female_Asian_52_mask4.jpg
000011,1,1,1,./data/images/000002_female_Asian_52_incorrect_mask.jpg
000012,1,1,0,./data/images/000002_female_Asian_52_mask1.jpg
000013,1,1,0,./data/images/000002_female_Asian_52_mask2.jpg
000014,0,1,0,./data/images/000004_male_Asian_54_mask5.jpg
000015,0,1,0,./data/images/000004_male_Asian_54_mask3.jpg
000016,0,1,2,./data/images/000004_male_Asian_54_normal.jpg
000017,0,1,0,./data/images/000004_male_Asian_54_mask4.jpg
000018,0,1,1,./data/images/000004_male_Asian_54_incorrect_mask.jpg
000019,0,1,0,./data/images/000004_male_Asian_54_mask1.jpg
000020,0,1,0,./data/images/000004_male_Asian_54_mask2.jpg
000021,1,1,0,./data/images/000005_female_Asian_58_mask5.jpg
000022,1,1,0,./data/images/000005_female_Asian_58_mask3.jpg
000023,1,1,2,./data/images/000005_female_Asian_58_normal.jpg
000024,1,1,0,./data/images/000005_female_Asian_58_mask4.jpg
000025,1,1,1,./data/images/000005_female_Asian_58_incorrect_mask.jpg
000026,1,1,0,./data/images/000005_female_Asian_58_mask1.jpg
000027,1,1,0,./data/images/000005_female_Asian_58_mask2.jpg
000028,1,1,0,./data/images/000006_female_Asian_59_mask5.jpg
000029,1,1,0,./data/images/000006_female_Asian_59_mask3.jpg
000030,1,1,2,./data/images/000006_female_Asian_59_normal.jpg
000031,1,1,0,./data/images/000006_female_Asian_59_mask4.jpg
000032,1,1,1,./data/images/000006_female_Asian_59_incorrect_mask.jpg
000033,1,1,0,./data/images/000006_female_Asian_59_mask1.jpg
000034,1,1,0,./data/images/000006_female_Asian_59_mask2.jpg
000035,1,1,0,./data/images/000007_female_Asian_58_mask5.jpg
